FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
235	70348	239	383	289	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
236	70587	199	553	284	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
237	70786	259	633	279	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
238	71045	159	524	163	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
239	71384	279	238	193	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
240	71664	200	557	256	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
241	71863	378	504	404	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
242	72242	199	739	646	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
243	72441	259	884	726	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
244	72700	299	585	296	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
245	72999	638	561	179	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
246	73637	319	641	330	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
247	73956	359	926	517	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
248	74315	299	472	789	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
249	74614	259	-306	921	ScreenRec
250	74873	159	-123	358	ScreenRec
251	75033	259	393	263	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
252	75292	220	575	195	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
253	75511	279	427	292	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
254	75790	259	576	331	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
255	76050	239	614	206	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
256	76289	219	716	138	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
257	76508	499	588	412	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
258	77007	578	414	438	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
259	77585	399	435	536	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
260	77983	359	393	555	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
261	78342	279	266	426	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
262	78621	757	420	425	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
263	79379	299	600	395	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
264	79678	219	426	335	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
265	79897	279	407	293	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
266	80176	219	553	273	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
267	80396	359	445	170	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
268	80755	199	478	406	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
269	80954	519	588	433	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
270	81473	279	389	435	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
271	81752	399	438	299	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
272	82150	239	388	320	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
273	82390	160	487	323	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
274	82549	239	379	321	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
275	82788	399	588	390	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
276	83187	279	396	316	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
277	83466	359	586	288	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
